"","Parameter","Specie","Treatment","Time","Value"
"1","erSem","Epinard","Bache","T1",0.12752
"2","dSem","Epinard","Bache","T1",1
"3","maxSem","Epinard","Bache","T1",1
"4","ageAdv","Epinard","Bache","T1",0
"5","distAdv","Epinard","Bache","T1",0
"6","erAdv","Epinard","Bache","T1",0
"7","dAdv","Epinard","Bache","T1",0
"8","maxAdv","Epinard","Bache","T1",0
"9","dmin","Epinard","Bache","T1",0.28118275
"10","dmax","Epinard","Bache","T1",0.53951372
"11","EL","Epinard","Bache","T1",39.2
"12","TrT","Epinard","Bache","T1",1
"13","Trint","Epinard","Bache","T1",0.03
"14","PDT","Epinard","Bache","T1",6.015
"15","IPD","Epinard","Bache","T1",3.93345169299262
"16","pdmax","Epinard","Bache","T1",0.8
"17","pdmin","Epinard","Bache","T1",0
"18","RDM","Epinard","Bache","T1",0.0739
"19","CVDD","Epinard","Bache","T1",0.15
"20","TMD","Epinard","Bache","T1",5.35436311928378
"21","GDs","Epinard","Bache","T1",400
"22","SGC","Epinard","Bache","T1",0.9
"23","LDC","Epinard","Bache","T1",5000
"24","erSem","Epinard","Bache","T2",0.12752
"25","dSem","Epinard","Bache","T2",1
"26","maxSem","Epinard","Bache","T2",1
"27","ageAdv","Epinard","Bache","T2",0
"28","distAdv","Epinard","Bache","T2",0
"29","erAdv","Epinard","Bache","T2",0
"30","dAdv","Epinard","Bache","T2",0
"31","maxAdv","Epinard","Bache","T2",0
"32","dmin","Epinard","Bache","T2",0.2115197
"33","dmax","Epinard","Bache","T2",0.524346878
"34","EL","Epinard","Bache","T2",39.2
"35","TrT","Epinard","Bache","T2",1
"36","Trint","Epinard","Bache","T2",0.03
"37","PDT","Epinard","Bache","T2",6.015
"38","IPD","Epinard","Bache","T2",8.28856802662713
"39","pdmax","Epinard","Bache","T2",0.8
"40","pdmin","Epinard","Bache","T2",0
"41","RDM","Epinard","Bache","T2",0.0739
"42","CVDD","Epinard","Bache","T2",0.15
"43","TMD","Epinard","Bache","T2",101.286774822598
"44","GDs","Epinard","Bache","T2",400
"45","SGC","Epinard","Bache","T2",0.9
"46","LDC","Epinard","Bache","T2",5000
"47","erSem","Epinard","Bache","T3",0.12752
"48","dSem","Epinard","Bache","T3",1
"49","maxSem","Epinard","Bache","T3",1
"50","ageAdv","Epinard","Bache","T3",0
"51","distAdv","Epinard","Bache","T3",0
"52","erAdv","Epinard","Bache","T3",0
"53","dAdv","Epinard","Bache","T3",0
"54","maxAdv","Epinard","Bache","T3",0
"55","dmin","Epinard","Bache","T3",0.3128533
"56","dmax","Epinard","Bache","T3",0.624362292
"57","EL","Epinard","Bache","T3",39.2
"58","TrT","Epinard","Bache","T3",1
"59","Trint","Epinard","Bache","T3",0.03
"60","PDT","Epinard","Bache","T3",6.015
"61","IPD","Epinard","Bache","T3",5.33127707861674
"62","pdmax","Epinard","Bache","T3",0.8
"63","pdmin","Epinard","Bache","T3",0
"64","RDM","Epinard","Bache","T3",0.0739
"65","CVDD","Epinard","Bache","T3",0.15
"66","TMD","Epinard","Bache","T3",330.748454391592
"67","GDs","Epinard","Bache","T3",400
"68","SGC","Epinard","Bache","T3",0.9
"69","LDC","Epinard","Bache","T3",5000
"70","erSem","Epinard","Feuilles","T1",0.12752
"71","dSem","Epinard","Feuilles","T1",1
"72","maxSem","Epinard","Feuilles","T1",1
"73","ageAdv","Epinard","Feuilles","T1",0
"74","distAdv","Epinard","Feuilles","T1",0
"75","erAdv","Epinard","Feuilles","T1",0
"76","dAdv","Epinard","Feuilles","T1",0
"77","maxAdv","Epinard","Feuilles","T1",0
"78","dmin","Epinard","Feuilles","T1",0.337379164
